Step by step,Rating,Image Link,Count Rating,Title,Ingredients,Preparation Time,Finish Time
"Doe de broodmix in een kom (je kunt ook zelf brood maken sla stap 1,2,3,4 over)|Voeg het water toe.|Kneed het door elkaar.|Laat het deeg 3 kwartier rijzen in de bak met een natte theedoek of vershoudfolie eroverheen.|Laat de oven voorverwarmen op zo'n 220 graden C.|Pers de knoflook fijn en doe het in een bakje.|Voeg nu de kruidenboter toe en prak het door elkaar.|Voeg de rozemarijn toe.|Als het brood klaar is met rijzen rol je het uit.|Smeer het mengsel van de knoflook, kruidenboter en de rozemarijn uit over het deeg.|Rol het deeg op en vouw de uiteinden naar binnen. Je kunt eventueel nog wat olijfolie over het brood smeren.|Leg het brood nu op een bakplaat of in een ovenschaal in de oven.|Bak het brood 25 tot 30 min in de voorverwarmde oven.|En smullen maar!","<span class=""mediumStar rating0""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/a9f2989a-4480-41a1-8bf7-2564536d31b9.jpg,(0),Kruidenbrood,2/3e pakje kruidenboter (kan je ook zelf maken)|3 teentjes knoflook|2 theelepels rozemarijn|500 gram broodmix|300 ml water (of zoveel als op de verpakking staat aangegeven),2,"1,32"
"Suiker, gist en warm water in een grote kom vermengen en gist laten activeren.
|Iets meer dan de 1/2 van de bloem door het gistmengsel roeren en tot een glad deeg kneden.
|Afdekken en 15 minuten laten staan.
|Zout erdoor kneden en voldoende van de resterende bloem om een stevig deeg te maken. Kneed dit zacht en glad. Een kom met olie invetten, het deeg erdoor wentelen en tot verdubbeld volume laten rijzen (ik zet de kom in de oven met het lampje aan, de perfecte temperatuur om deeg te laten rijzen).
|Als het deegvolume is verdubbeld het deeg neerslaan en tot 3 dikke broden vormen. Zware bakplaten invetten en met griesmeel bestrooien. De broden op de bakplaten leggen, met een theedoek afdekken en laten rijzen.
|Eenmaal gerezen met een verstuiver water over de broden spuiten en in de voorverwarmde oven (230°C/gasstand 8) schuiven. Tijdens het bakken een paar keer met water bespuiten en omdraaien. De broden zijn gaar als ze goudbruin zijn en hol klinken als je tegen de onderkant klopt.
","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/245fddca-51d5-4dc1-8e5f-704e9ab72f4d.jpg,(594),Mama's Italiaanse brood,750 ml warm water (45°C)|1 theelepel kristalsuiker|1 eetlepel droog bakkersgist|800 gr bloem|1 eetlepel zout,20,"1,20"
"De oven voorverwarmen op 200°C/gasstand 6 en een bakplaat licht invetten.
|Bloem, suiker, bakpoeder en zout in een grote kom zeven. De sojaspread erdoor wrijven tot een kruimeldeeg ontstaat (ik doe het met mijn handen).
|Maanzaad, citroenrasp en citroensap erdoor roeren. Sojamelk en water vermengen en geleidelijk door de droge ingrediënten roeren tot het vochtig deeg ontstaat. Het is niet altijd nodig alle vloeistof te gebruiken.
|Grote scheppen deeg met een tussenruimte van 6 cm over de ingevette bakplaat verdelen.
|10-15 minuten in de voorverwarmde oven bakken tot de scones goudkleurig zijn.
","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/bdb32215-83b0-4a4f-8076-21a5672e8a41.jpg,(10),Citroenscones met maanzaad,"250 gr bloem|150 gr basterdsuiker|1 el bakpoeder|1/2 tl zout|165 gr melkvrije sojaspread|1 citroen, schil geraspt en geperst|1 el maanzaadjes|120 ml sojamelk|120 ml water",10,25
"Vermeng in een middelgrote kom de bloem, cayennepeper en een snufje zout. Werk er met een deegsnijder of twee messen de boter en margarine door, zodat u een kruimelig mengsel krijgt. Meng er geleidelijk 1½ dl water door, zodat u een glad deeg krijgt. Kneed dit 5 minuten, tot het glad en elastisch is. Doe het over in een kom die u licht ingevet hebt met de olie. Laat het afgedekt 1 uur rusten.|Verwarm de oven voor op 210 °C. Houd 2 bakplaten met antiaanbaklaag bij de hand. Verdeel het deeg in 4 stukken. Rol elk stuk uit tot een ronde lap van 23 cm doorsnee en circa 1½ mm dik. Leg ze op de bakplaten. Bestrijk ze met het eiwitmengsel en bestrooi ze met de zonnebloem- en pompoenpitten. Bestrooi elk brood met 2 theelepels Parmezaanse kaas. Bak de platte broden 12 minuten, of tot ze goudbruin, knapperig en licht uitgerezen zijn.","<span class=""mediumStar rating0""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/f90f56a0-1650-42ed-b4c1-43a35aea7128.jpg,(0),Knapperig plat brood met pitten,"250 g bloem|¼ theel. cayennepeper|zout|15 g boter|3 theel. margarine|1 theel. plantaardige olie|1 eiwit, licht schuimig geklopt met 2 theel. water|3 eetl. gedopte pompoenpitten|3 eetl. gedopte zonnebloempitten, geroosterd|2 eetl. geraspte Parmezaanse kaas","1,10","1,25"
De ingrediënten volgens de instructies van de fabrikant aan de broodmachine toevoegen. Selecteer het menu en druk op Start. Als het menu 5 minuten op gang is de structuur van het deeg controleren. Eventueel meer rijstmeel of vocht toevoegen.|Als het brood gaar is 10-15 minuten laten afkoelen alvorens het uit de bakvorm te verwijderen.,"<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/9f7210a2-b542-42e6-900f-dac4ccf5e7de.jpg,(107),Glutenvrij brood,"1 ei|80 ml eiwit|1 eetlepel appelazijn|60 ml koolzaadolie|60 ml honing|350 ml magere melk, verwarmd|1 theelepel zout|1 eetlepel xanthaangom|70 gr tapiocameel|4 eetlepels kikkererwtenmeel|4 eetlepels gierst|160 gr|160 gr volkoren rijstmeel|1 eetlepel droog gist",10,"1,10"
"Meel, suiker, zout, melkpoeder, water, boter en gist volgens de aanwijzingen van de fabrikant aan de broodmachine toevoegen. Selecteer het deegmenu en druk op Start.|Het gerezen deeg uit de machine halen, neerslaan en op een bebloemde ondergrond leggen. Het deeg in 10 gelijke delen verdelen en tot bolletjes vormen. De bolletjes over licht ingevette bakplaten verdelen. Afdekken met een vochtige doek en in ong. 40 minuten tot verdubbeld volume laten rijzen. Intussen de oven voorverwarmen op 180°C/gasstand 4.|In een kleine kom eiwit en 2 eetlepels water mengen en de bolletjes met een dun laagje besmeren. 15 minuten in de voorverwarmde oven bakken tot de bolletjes goudbruin zijn.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/e12d413a-f779-45c1-b6d1-b44ba0e91d03.jpg,(713),Bolletjes uit de broodmachine,"400 gr tarwemeel|3 eetlepels suiker|1 theelepel zout|2 eetlepels droge melkpoeder|225 ml warm water (45°C)|2 eetlepels boter, op kamertemperatuur|7 gr droge gist|het wit van 1 ei|2 eetlepels water","1,20","1,35"
"De oven voorverwarmen op 180°C/gasstand 4. In een middelgrote kom bloem, bakpoeder en zout mengen.|In een aparte kom suiker, roomkaas en ei tot een luchtige massa kloppen. Banaan en Chaithee erdoor roeren. Het bloemmengsel toevoegen en tot een glad beslag mengen.|Giet het beslag in een ingevette bakvorm van 23x12 cm.|60 minuten in de voorverwarmde oven bakken. Op een metalen rooster laten afkoelen (het brood na 10 minuten uit het bakblik halen om volledig af te koelen).","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/8a28a6c0-ef15-40a4-84b9-03bb04572393.jpg,(113),Bananenbrood met chai,"225 gr bloem|1 eetlepel bakpoeder|1/2 theelepel zout|150 gr suiker|110 gr vetarme roomkaas|2 eieren|170 gr banaan, gepureerd|4 eetlepels bereide Chaithee, op kamertemperatuur",10,"1,10"
"Voor de starter: Doe 1/3 van de meel en 60 ml water in een kom of bak en roer goed. Dek af en laat het 1 nacht op kamertemperatuur staan. Voeg de volgende dag weer 1/3 van de meel en 60 ml water toe. Dek weer af en laat het nogmaals 1 nacht op kamertemperatuur staan. Voeg op de derde dag het resterende 1/3 deel van de meel en 60 ml water toe, dek af en laat weerom 1 nacht op kamertemperatuur staan.|Voor het deeg: Los in een grote kom de gist en suiker op in het warme water. Laat het staan totdat het er romig uitziet, ongeveer 10 minuten.|Verdeel de starter in kleine stukjes en voeg deze toe aan het gistmengsel. Voeg 550 gr meel en het zout toe en roer goed door. Voeg vervolgens onder voortdurend roeren steeds 70 gr meel toe, totdat het meel op is. Als het deeg mooi is, leg het dan op een licht met bloem bestoven werkblad en kneed het in zo'n 8 minuten tot een glad en elastisch deeg. Strooi een beetje bloem over het deeg, dek het af met een droge doek en laat het rijzen totdat het in volume verdubbeld is.|Leg het deeg op een licht met bloem bestoven werkblad en druk alle lucht eruit. Verdeel het in twee gelijke stukken en kneed beide stukken zo'n 2-3 minuten. Vorm van ieder stuk een ovaal brood. Bestrooi twee bakplaten met wat polenta en rol de broden uit tot een ovaal van ongeveer 40x30 cm. Bestuif de bovenkant van de broden met wat bloem. Dek af met een droge doek en laat ze op een warme plaats rijzen totdat ze in volume verdubbeld zijn. Verwarm ondertussen de oven voor op 220 graden Celsius/Gasovenstand 7.|Bak de broden 30 - 40 minuten in een voorverwarmde oven. Spray er gedurende de eerste 15 minuten iedere 5 minuten wat water overheen. De broden zijn klaar wanneer de bodem hol klinkt als je er op klopt. Laat ze afkoelen op een rooster voordat je ze serveert.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/3fa35167-22dc-47f2-9785-a98520e8aeb6.jpg,(19),Ekmek (Turks brood),"200 gr meel|180 ml water|5 tl gedroogde gist|1 tl basterdsuiker|500 lauwwarm water (45 graden Celsius)|820 gr meel|2 tl zout|4 - 8 el polenta (maïsmeel), indien nodig",1,"1,40"
"Laat het zuurdesemzetsel op kamertemperatuur komen.|De ingrediënten toevoegen aan de broodbakmachine volgens de instructies van de fabrikant.|Kies het basismenu of het menu voor wit brood, zet het korstmenu op medium en druk op Start.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/0ea23354-1b15-4a2e-b2b8-a936721ada6b.jpg,(88),Zuurdesem brood,280g (10 oz) zuurdesem zetsel|5 eetlepels water|385 gr bloem|1 eetlepel suiker|1 eetlepel plantaardige olie|1 theelepel zout|2 theelepels droge gist,10,"2,10"
"Doe het warme water, suiker, honing, plantaardige olie, zout, 2 eieren, meel en gist in de bak van de broodbakmachine in de volgorde die door de handleiding wordt geadviseerd. Selecteer de deeg-stand en zet de machine aan.|Als de machine klaar is, haal dan het deeg eruit en leg het op een licht met bloem bestoven werkblad. Druk het deeg plat en laat het 5 minuten rusten.|Verdeel het deeg in 2 gelijke stukken. Verdeel een helft in 3 gelijke stukken, rol ieder stukje uit tot een lang dun rolletje met een lengte van 30-35 centimeter en vlecht alle 3 de stukken vervolgens tot een brood. Doe hetzelfde met de andere helft. Leg beide broden op een ingevet bakblik, spray er wat water over, dek af met wat doorzichtig keukenfolie en laat het 1-1,5 uur in een warme, tochtvrije plaats rijzen tot het in volume verdubbeld is.|Verwarm de oven voor op 180 graden Celsius/Gasovenstand 4. Klop 1 ei en 1 el water door elkaar in een klein kommetje.|Smeer de gerezen broden in met het eimengsel en bak de broden af in een voorverwarmde oven gedurende 20-25 minuten. Als het brood te snel bruin begint te worden, dek het dan af met wat aluminiumfolie.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/761cd443-eef4-4b7f-82a5-589c7ce1c2ff.jpg,(198),Gevlochten challe (Joods brood) uit de broodbakmachine,"250 ml warm water|100 gr basterdsuiker|1 el honing|125 ml plantaardige olie|1,5 tl zout|2 eieren, op kamertemperatuur|550 gr bloem|2 1/4 tl snelgist|1 geklopt ei|1 el water",30,55
"Meng in een grote kom het warme water, de gist en 5 eetlepels honing. Roer er dan de bloem door. Laat het 30 minuten staan, of tot zich belletjes beginnen te vormen.|Meng 50 g gesmolten boter, het zout en de rest van de honing erdoor. Roer de helft van het volkorenmeel erdoor.|Bestuif een werkoppervlak met bloem en kneed het deeg met de rest van het volkorenmeel tot het nog maar nauwelijks aan de handen kleeft - je kunt het van het aanrecht afnemen, maar het is nog plakkerig. Misschien moet er wat extra volkorenmeel bij. Leg het deeg in een met olie bestreken kom en draai het een keer om zodat het deeg helemaal met olie bedekt is. Leg een theedoek op de kom en laat het op een warme plaats rijzen, tot het in volume verdubbeld is.|Druk het deeg plat met een vuist, kneed het licht en vorm er 3 broden van. Leg die in ingevette broodvormen van ca. 10x25 cm. Laat het deeg rijzen tot het 2 of 3 cm boven de rand van de broodvorm uitkomt.|Bak de broden 25 tot 30 minuten op 180 C. Strijk met een kwastje de resterende boter uit over de bovenkant van de broden om te voorkomen dat de korst hard wordt. Laat de broden helemaal afkoelen op een rooster.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/ba5104f3-ebb1-4e39-a8e8-444c0ae09d0c.jpg,(2064),Eenvoudig volkorenbrood,"750 ml warm water (45 C)|15 g (2 zakjes) droge gist|5 eetepels (75 ml) honing|675 g bloem|50 g boter, gesmolten|5 eetepels (75 ml) honing|1 afgestreken eetlepel (15 g) zout|425 g volkorenmeel|30 g boter, gesmolten",45,"1,15"
"Doe de dag voordat je het brood maakt 175 ml water, 1/2 afgestreken theelepel gist en 225 g bloem in het broodblik van je broodbakmachine. Laat het 5 minuten kneden, stop de machine dan en laat het deeg ‘s nachts rijzen.|Doe de volgende dag dit zuurdesem-meelmengsel in een bakje dat niet van metaal is. Neem 75 g ervan voor het recept en vries de rest in voor een andere keer.|Meng in een grote kom de 75 g zuurdesem-starter, 250 ml water, 1 afgestreken theelepel gist, 275 g bloem en het zout. Doe het dan in de bak van de broodmachine en laat het 10 minuten kneden. Neem het deeg uit de machine en leg het in een licht geoliede kom, dek die kom af met een vochtige theedoek en laat het deeg rijzen tot het in volume verdubbeld is; ongeveer 2 uur. Druk dan een vuist in het deeg, kneed het licht met de hand en laat het nog eens rijzen tot het in volume verdubbeld is; ongeveer 1 uur.|Leg het deeg op een licht met bloem bestoven werkoppervlak en vorm het tot een rond brood. Leg dat op een met maïsmeel bestoven bakplaat. Dek het af en laat het deeg weer rijzen tot het bijna in volume verdubbled is, ongeveer 40 minuten. Verwarm ondertussen de oven voor op 180 C.|Sproei wat water over het brood en zet het in de oven. Besproei het brood de eerste 10 minuten om de 2 minuten met water. Bak het brood 40 minuten; het brood is klaar als het hol klinkt wanneer je op de onderkant klopt.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/5c350a42-b991-4ba4-8982-95b62479e72b.jpg,(19),Plattelandsbrood,175 ml water|1/2 afgestreken theelepel gedroogde gist|225 g bloem|225 ml water|1 afgestreken theelepel gedroogde gist|275 g bloem|5 eetlepels (40 g) volkorenmeel|1/2 afgestreken theelepel zout,45,"1,25"
"Voeg de ingrediënten toe aan de broodbakmachine in de  door de fabrikant aangegeven volgorde, en druk op start. Je kunt tot 60 gram meer meel toevoegen als het deeg te plakkerig lijkt.","<span class=""mediumStar rating45""></span>",http://nlcdn.ar-cdn.com/recipes/xlarge/3f99f665-0112-4a1f-8b38-662603989758.jpg,(83),Hüttenkäse brood,125ml water|225g cottagecheese (hüttenkäse)|50g boter of margarine|1 ei|1 eetlepel suiker|1/4 theelepel baksoda (dubbelkoolzure soda)|1 theelepel zout|400g tarwebloem|2 1/2 theelepels gedroogde gist,5,"3,5"
