text,food
We sell chia/coconut yoghurt/fruits/pecan breakfast healthy (@ Coffee Shots - Store),"['coconut', 'yoghurt', 'coffee']"
Breakfast pancakeking amsterdamfood amsterdam2017 Pancake King Amsterd,['pancake']
"My favourite new phrase is: ""white chocolate peanut butter Easter egg"" stach easter chocolate\u2026","['chocolate', 'peanut', 'butter', 'egg', 'white chocolate', 'peanut butter']"
First outside coffeeee whoop \U0001f388 Enjoy this gorgeous day \U0001f44b\U0001f3fc\U0001f44b\U0001f3fc trakterenkoffie coffee\u2026,['coffee']
Brewery Birds \U0001f1f3\U0001f1f1 \U0001f37b\U0001f43c\U0001f43c#amsterdam heineken brewey tour travel lights Heineken Rooftop Bar,['heineken']
Drinking a Heineken Extra Vers by King - The Number Of The Beast \u2014 photo,['heineken']
Dutch cuptasting championship (semi-finals professionals) at Amsterdam Coffee Festival acf17\u2026,['coffee']
Quick Dinner!! 100% Halal (@ Wok Inn),['wok']
\u2728 G I V E A W A Y \u2728 I am gifting 1 day cream + 2 boosters from myblend \u2022 To enter is super\u2026,['cream']
\u2615 Coffee with a friend is like capturing happiness in a cup Corner Bakery Amsterdam,['coffee']
Some geezer called Messi apparently he kicks a ball about pretty well Heineken Experience,['heineken']
Great start of the week wagyu demo nice.to.meat for the future top chefs from Holland for\u2026,['meat']
"Fun fact- there are 365 types of cheese in Amsterdam. I wish we bought a lot of cheese, we\u2026",['cheese']
"Amsterdam the only place I've been given salad with my fry up \U0001f643 Amsterdam, Netherlands",['salad']
Oso Couture show with a delicious high tea! Pure Music! oso couture cello music\u2026,['tea']
Supper!!! (@ Wok Inn),['wok']
"Back to when we saw how cheese was made in Amsterdam with efcollegebreak Amsterdam, Netherlands",['cheese']
"[\U0001f37b] \u25aa Awesome weekend w/ chewbm and yay, 2 things off my checklist! \u2714 Heineken Experience \u2714\u2026",['heineken']
\u2615 Coffee is always a good idea de Bijenkorf,['coffee']
"They claimed the river is 3 meters deep, 1 meter water, 1 meter mud, 1 meter bicycles.... I\u2026",['water']
sanomanl Public service announcement: brought some homemade Portuguese chocolate to the office \U0001f36b\u2026,['chocolate']
De Kas for birthday\U0001f34d\U0001f955\U0001f34b\U0001f956\U0001f382\U0001f368\U0001f942\U0001f388\U0001f1f3\U0001f1f1\U0001f43c\U0001f43c\U0001f43c dekas amsterdam netherlands meal fancy\u2026,['kas']
"When was the last time a coffee was so delicious and so well extracted, you had tears of joy and\u2026",['coffee']
Not only is it beautiful but the whole city smelled like chocolate,['chocolate']
The right place for it ;) heineken Restaurant De Nachtwacht,['heineken']
"Getting scary everywhere. Here we have Putin and now all of a sudden Turkey president acting all crazy, etc etc. Dark times ahead\U0001f622",['turkey']
"Back to the basics, let's go back to more of realistic vectors. Cool? Too much sauce \U0001f336\U0001f336 art\u2026",['sauce']
"Coffee Shop Etiquette.#mod sax pax coffee espresso roasters london berlin Amsterdam,\u2026","['coffee', 'espresso']"
Not a bad location for some coffee and flex work. Gotta love Amsterdam. nofilter eye\u2026,['coffee']
heinekenexperience Heineken Experience,['heineken']
"Dinner time... yes, time for a pint, too \U0001f602\U0001f602\U0001f357\U0001f356\U0001f372\U0001f37b\U0001f37a\U0001f37b\U0001f37a\U0001f37b irishpub amsterdam strolling pint beer\u2026",['beer']
Now that I lost my luggage I am taking some of the worlds best chocolate elrey\U0001f451\u2026,['chocolate']
Flat searching delays have good sides. Amsterdam sun beer The Grasshopper,['beer']
"Sipping a caff\xe8 latte on the canal \u2615\ufe0f Hey, Year 28! Amsterdam, Netherlands",['latte']
"Something with bubbles, scissors and other fun stuff. NO CANDY at it's best newwork parool\u2026",['candy']
Coffee on out work bench! Now wine\U0001f942 The Rental Agency Amsterdam,"['coffee', 'wine']"
It's an avocado show! \U0001f951\U0001f951 theavocadoshow floortjelovesonroad The Avocado Show,['avocado']
This place was amazing. coffeeroom amsterdam coffee brownie tb throwbackthursday\u2026,"['coffee', 'brownie']"
Bon Appetit! Some vegetarian meal before we start our Bday boy's\u2026,['vegetarian']
Getting the basics from uncleAlbertH \U0001f60d \u2022 lindt\U0001f36b chocolate With chili\U0001f336 \U0001f633 \u2022 tonyschocolonely\u2026,['chocolate']
tbt AMS take me back tochislove Heineken Experience,['heineken']
Dumpling galore! pinchsum pinchdumplingsrock popup concioushotel\u2026,['dumpling']
Nice beer with some red meat. - Drinking a Mind Your Step! by Haarlemmermeer \u2014 photo,"['beer', 'meat']"
"Zuur, wel nog fruitig! - Drinking a Bianca Mango Lassi Gose (3.5%) King - The Number Of The Beast - photo","['mango', 'lassi']"
Trend Alert: 'Chuck Berry'. More trends at trndnl,['berry']
\u2488 heefey \u2489 dtvk \u248a wnlopzondag \u248b businessclass \u248c Chuck Berry 2017/3/19 11:49 CET trndnl,['berry']
The Maria Portokalos Bundt cake is ready \U0001f602\U0001f602\U0001f602 mariaportokalos mybigfatgreekwedding\u2026,"['cake', 'bundt cake']"
\u2488 buitenhof \u2489 heefey \u248a dtvk \u248b businessclass \u248c Chuck Berry 2017/3/19 12:37 CET trndnl,['berry']
\u2488 heefey \u2489 buitenhof \u248a dtvk \u248b businessclass \u248c Chuck Berry 2017/3/19 12:57 CET trndnl,['berry']
\u248d Chuck Berry \u248e Drake \u248f Stevensloop \u2490 Orly \u2491 Heracles 2017/3/19 13:13 CET trndnl,['berry']
Without the love it's just coffee \U0001f498 yestothat coffee backtoblackcoffee amsterdam love,['coffee']
\u248d CDA-senator Oomen \u248e Go Ahead \u248f Coolsingel \u2490 Biesbosch \u2491 Chuck Berry 2017/3/19 19:57 CET trndnl,['berry']
One last coffee with the boyfriend before leaving The Netherlands \U0001f622 (@ Starbucks -,['coffee']
"Didn't feel right to start this Sunday morning with a 11% beer, so... (Lazy Sunday Morning) photo",['beer']
"What a beautiful IPA! I love Simcoe, but this has so much more. Lime, pepper, t... (Simcoe) photo","['lime', 'pepper']"
\U0001f468\U0001f3fd Coffee Room Amsterdam,['coffee']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
First meal in Amsterdam..... Beer. TheMurphysDoEurope . . instapassport thecreative\u2026,['beer']
"Stuff some tahini in your sweet potato aka ""kumara"". 25 min recipe over here! Did you know that\u2026","['tahini', 'potato', 'sweet potato']"
"Now headed to the ""coffee"" shop and passed this\U0001f44c\U0001f3fe\U0001f44c\U0001f3felove this\u2026",['coffee']
Another amazing plantbased course moer_restaurant pumpkin risotto with mushrooms and cheese\u2026,"['pumpkin', 'risotto', 'mushrooms', 'cheese']"
Perfection is a late rainy day morning and the towns best cappuccino.\u2026,['cappuccino']
We are Ready to Cut! Me and Trinitad Red + Chocolate Urban Cacao Amsterdam,['chocolate']
Time for some Sausage rolls with coriander tzatziki for me.Get the recipe on the info \U0001f44c food\u2026,"['sausage', 'tzatziki']"
Cappuccino and cocktail of pineapple chunks and tangerine dream\U0001f341\U0001f341 Dutch Design Hotel Artemis,"['cappuccino', 'cocktail', 'pineapple']"
I love my vegetables!! With cauliflower my favorite part is it's stem and leaves ... my\u2026,"['vegetables', 'cauliflower']"
i'll be irish \U0001f1ee\U0001f1ea in a few pints \U0001f37a Amsterdam Guinness\u2026,['guinness']
Brownie\U0001f63b\U0001f63b\U0001f63b#ckey sweets lifestyle europe cafe Lot Sixty One Coffee Roasters,"['brownie', 'coffee']"
Chef NadiaFrisina's pasta dish with vongole and bottarga was so delicious we could easily\u2026,['pasta']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
"Pasta workshop, making corzetti from Liguria pasta pastaworkshop italianfood\u2026","['pasta', 'corzetti']"
"I'm at Johnnie Walker House in Amsterdam, North Holland",['johnnie walker']
TweetWhatYouEat Belgian onion and beef stew with St. Bernardus Abt 12. Gotta t... (Abt 12) photo,"['onion', 'beef', 'stew']"
Home! Heineken Experience,['heineken']
Oyster Ceviche Rocoto sold out lebigfish see you next Sunday for the Special. oysters\u2026,"['oyster', 'ceviche']"
"Tea time clipper Amsterdam, Netherlands",['tea']
The best kind of museum\U0001f9c0 Museo Cheese Amsterdam,['cheese']
I'm at New York Pizza in Amsterdam,['pizza']
windmill and cheese day! beautifulnetherlands dutch trip. throwback euro travels! Visiting\u2026,['cheese']
"I'm an adult and I can have cake for breakfast if I want! (@ De Taart van m'n Tante in Amsterdam, Noord-Holland)",['cake']
Amsterdam\u2600\ufe0f The Bulldog Coffee Shop,['coffee']
"High above Amsterdam, I roll this beer around in my mouth, because it is ... (Dubbelbock) photo",['beer']
"As they say, ""when in Rome..."" holiday amsterdam beer travel travelgram alcohol food\u2026",['beer']
"Download the App, Saleapp and promote everything you love, like this awesome caff\xe8 Latte \u2615\ufe0f.\u2026",['latte']
Dam life. Amsterdam Heineken Heineken Experience,['heineken']
Happy Amsterdam Cocktail Week from Bar Oldenhof! amsterdamfoodie amsterdam cocktail oldenhof\u2026,['cocktail']
"14:15 preptime, 14:35 competition time... in other words: DBC Gametime! \U0001f4aa\u2615\u2728 Amsterdam Coffee\u2026",['coffee']
"Salad for breakfast . No real party ever started with a salad..but hey I'm starting the day,\u2026",['salad']
Sven madame.cocos preparing a special batch of the delicious madamecocos coconut cake featuring\u2026,"['coconut', 'cake', 'coconut cake']"
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
\ufe0f\u20e31\ufe0f\u20e31\ufe0f\u20e3 SAW...from the canals of Amsterdam \U0001f1f3\U0001f1f1 After a couple of glasses of wine I got up\u2026,['wine']
A1 13101 Rit 29890 Amsterdam Damrak 1012LP 87 th Kentucky Fried Chicken p2000,['fried chicken']
"Meet Dan our professional tea sommelier, introducing and brewing up our all new Tea Masters\u2026",['tea']
"who is she cheese Amsterdam Amsterdam, Netherlands",['cheese']
Day8: champions' breakfast\U0001f4aa\U0001f60d omelegg amsterdam holland Netherlands amsterdamfood omelette\u2026,['omelette']
"""Thanking for a weekend of cupping at Amsterdam Coffee Festival"". Until next\u2026",['coffee']
Mega-proud! My sister just won the Dutch Tea Championship! And she's not even Dutch!\u2026,['tea']
Drinking a Leffe Blonde / Blond by Best Western Apollo Museumhotel Amsterdam City Centre \u2014 photo,['leffe']
This must be one of the reasons why they call bosenlommer little Turkey. For a while this seems\u2026,['turkey']
They don't play. Amsterdam Coffee Festival,['coffee']
"""Go to Turkey, and never come back again."" \U0001f93a vsco vscocam vscodaily netherlands amsterdam\u2026",['turkey']
Preston last night \U0001f602\U0001f602\U0001f44c\U0001f44c\U0001f37a\U0001f37a Heineken Rooftop Bar,['heineken']
The party girl. elvirabakes asapevents meetup aperitivo sourdough sourdoughstarter\u2026,['sourdough']
Chicken in a basket. \U0001f357\u2728 The Bulldog Coffee Shop,['coffee']
"Say you, say cheese amsterdam citygram kaas redbricks urbanexploring Amsterdam, Netherlands",['cheese']
Orange Room w/ UK Beatbox Champ BeatFox &amp; THTC on the streets of\u2026,['orange']
"Coffee shops and photogenic canals \U0001f1f3\U0001f1f1 amsterdam Amsterdam, Netherlands",['coffee']
"Caf\xe9 crawled thru Amersteedam, been around the world w a punk rock band Coffee Company\u2026",['coffee']
I finally was able to crack open this bag of beans from in Feb after cxworlds.\u2026,['beans']
Just posted a photo Heineken Experience,['heineken']
"Not in The Netherlands, go away Turkey Amsterdam-Noord",['turkey']
regrann from - Don't wine. Go and vote elections verkiezingen dutchelections\u2026,['wine']
Heineken Experience Amsterdam amsterdam heineken Heineken Experience,['heineken']
Yessiree'Bob! We had a herring / haring tasting today at work! The perks at a dutch company!\u2026,['herring']
Way more comfortable than coffee shops and with an awesome Grimbergen pints we are all ok\u2026,['coffee']
Right before jack spilt soy sauce on his suit SkyLounge Amsterdam,['sauce']
Bangsa groove yihiiiiiii! Red Bull Studio session w/ Red Bull Studio - Amsterdam,['red bull']
"I'm at Heineken International B.V. in Amsterdam, Noord-Holland",['heineken']
SMOKEY SEASON\U0001f32c\U0001f32c\U0001f32c The Bulldog Coffee Shop,['coffee']
Jamming with the brother JEFTUZ at the Red Bull Studio Amsterdam Redbull Studio,['red bull']
"Rain drop, drop top, we got to drink Heineken on the rooftop\u2026",['heineken']
Drinking my 1st coffee of 2017 outside in the \U0001f31e sun Finally\u2026,['coffee']
"Train cancelled, in the meantime... Salted Toffee Macadamia Latte\u2026","['toffee', 'latte']"
Top tip- If you like free coffee talk to the barista about micro-foam while they're making your\u2026,['coffee']
All that sugar overdose from last week was motivation enough to hit the gym today after 2 whole\u2026,['sugar']
"\U0001f62d\U0001f62d\U0001f62d\U0001f62d sooooo excited!!!! (@ Heineken Experience - in Amsterdam, Noord-Holland)",['heineken']
When your team begs you to make them a vegan pie... nomnom pie plantbased vegan sugarfree\u2026,['pie']
My bike is almost as big as a car \U0001f697 and my water is smaller than the\u2026,['water']
How did your dinner plate look like? Mine has:- -chicken curry -stir fried wild\u2026,['curry']
"Kbal Super Natural Color.Me.Tiger.Eyes. \U0001f42f hair color inspiration. Adding bronze, caramel and\u2026",['caramel']
Just posted a photo The Bulldog Coffee Shop,['coffee']
\u2488 dtvk \u2489 wnlopzondag \u248a heefey \u248b Chuck Berry \u248c excaja 2017/3/19 10:56 CET trndnl,['berry']
\u2488 dtvk \u2489 wnlopzondag \u248a heefey \u248b Chuck Berry \u248c Schiphol 2017/3/19 11:16 CET trndnl,['berry']
"Why, what's wrong with the tap water here?? amsterdam holiday tapwater water holland\u2026",['water']
Carpool Amsterdam -&gt; Hamburg rideshare split costs share coffee,['coffee']
What is the most fitting name for this yoga pose? 'The complicated one?' 'Folded pretzel'? 'Doe\u2026,['pretzel']
Without the love it's just coffee \U0001f498 yestothat coffee backtoblackcoffee amsterdam love,['coffee']
\u248d Coolsingel \u248e Biesbosch \u248f Chuck Berry \u2490 Drake \u2491 volcam 2017/3/19 18:32 CET trndnl,['berry']
Heineken Experience \U0001f924\U0001f924 Amsterdam Heineken CabacasJusticia,['heineken']
Trend Alert: 'Turkey-Netherlands 3-0 - Dutch'. More trends at trndnl,['turkey']
I \u2764Potato !!! Jacketz Amsterdam,['potato']
Heard of a Leffe Dubbel? Here's a copy. - Drinking a Necromance of Bloody Malts Haarlemmermeer - photo,['leffe']
"I'm at Wok To Walk in Amsterdam, North Holland",['wok']
"Back at another ""coffee"" spot after dinner\U0001f60e \U0001f343\U0001f343#amsterdam\u2026",['coffee']
Good evening coffee time \u2615\ufe0f \U0001f60b#starbucks rembrandtsquare chill starbuckslover \U0001f61c\u2026,['coffee']
\U0001f37b Heineken Experience,['heineken']
Smoked vanilla dessert My new neighbours whilst in Amsterdam Restaurant BREDA,['vanilla']
One of them videos! lol amsterdam videooftheday funny video space cake high life,['cake']
"I'm at 'cause BEER loves FOOD in Amsterdam, NH",['beer']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
"Second course moer_restaurant leeks four ways with potato foam and salt cured egg yolks,\u2026","['potato', 'egg']"
What the duck? Spaarne,['duck']
This seafood though\U0001f44c\U0001f3fe\U0001f44c\U0001f3fe\U0001f44c\U0001f3fe.. Seafood Bar Spui,['seafood']
"Analogue Amsterdam No.08 Behind the water lays Westerpark, it's a multifunctional park with\u2026",['water']
Repost christophe.delabarre with \u30fb\u30fb\u30fb Heineken 0.0% is officially out and the only\u2026,['heineken']
Today's weapon of choice \U0001f4f7with a side of cappuccino. sonya6300\u2026,['cappuccino']
My new favorite beer spot. my new favorite beer steward. Foeders,['beer']
Making morning coffee \u2615\ufe0f in our cube house kitchen. We are now cubenauts ! cubehouse\u2026,['coffee']
We are Ready to Cut! Me and Trinitad Red + Chocolate Urban Cacao Amsterdam,['chocolate']
Sourdough brioche buns bakingday baking surdeg DIY\u2026,"['sourdough', 'brioche']"
Cocktail time (@ New York Film Academy Cafe in Amsterdam),['cocktail']
expressomaquiatto perfeito amstersdam amomuito The Coffee Company,['coffee']
GOI CUON WITH TOFU A lovely veggie tummy treat today \U0001f331\U0001f49a - - - goicuon vietnamesefood\u2026,['tofu']
regrann from - Never forget \U0001f602\U0001f602\U0001f602 that this Pie lied and said he would fight me\u2026,['pie']
Taste the Rainbrew - the alternative Heineken brewery - microbrewery for people who actually\u2026,['heineken']
Say yes to whipped cream. Starbucks Overtoom,"['cream', 'whipped cream']"
"The only place I wanna be drinking my tea \u2615\ufe0f\U0001f3f3\ufe0f\u200d\U0001f308 Amsterdam, Netherlands",['tea']
Closing off with a killer. - Drinking a Lekker Bakkie Kobi! Cognac BA by Haarlemmermeer \u2014 photo,['cognac']
Top Five Reasons to Start Your Day With Fruit Fruit is one of the absolute best ways to start\u2026,['fruit']
"Not exactly what I meant by ""can we have water front view"" Amsterdam, Netherlands",['water']
Sliptong met appel en knol entree menu culinaria maart fish bistro noord amsterdam\u2026,['fish']
Dutch Cheese! Amsterdam Netherlands Amsterdam Red Light District,['cheese']
No more boring omelettes\U0001f914\U0001f914 How about this pulled pork spicy omelette wrap ? myview pulledpork\u2026,"['pork', 'omelette']"
"Ur nuts. Which is the name of the drink. With... nuts... and other stuff like oatmeal. Sweet,\u2026","['nuts', 'oatmeal']"
"Taco Tuesday at Taco Cartel! First press event for a while, and good timing as I was in need of\u2026",['taco']
"Some more pictures of Holland avenues...this one led me to a great steak house... Amsterdam,\u2026",['steak']
That's called foodporn! foodpornshare yummyfood yumm yummy venusandadonis scallops ribs\u2026,['scallops']
The perfect gin and tonic with at Wonderful lecture and fantastic\u2026,['gin']
"Vogue party! Champagne, fashion and fabulous people! moetmoment champagne vogue fabulous\u2026",['champagne']
Let's Dab it!!! amsterdamdiaries instagram dab Heineken Experience,['heineken']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland w/",['heineken']
On the way!!\U0001f1f3\U0001f1f1\U0001f60e amsterdam rail station train cheese cloudy day notcold discovering\u2026,['cheese']
"Day 2, our star- - Alongsi Estate naturals. The coffee shines when the basics are taken care of.\u2026",['coffee']
First heat of the Dutch Tea Championships kicking off at Amsterdam Coffee Festival this morning.\u2026,"['tea', 'coffee']"
"'Rat in peace' (15 x 20 cm, ink, coffee &amp; white pastel pencil) Amsterdam, Netherlands",['coffee']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
"I'm going to ask the guy who just made me these chips with poached eggs and truffle sauce, to\u2026","['chips', 'eggs', 'sauce']"
Coffee in Amsterdam coffee coffeetime coffeeart loveheart coffeedesign latte cappuccino\u2026,"['coffee', 'latte', 'cappuccino']"
Drinking. amsterdam Heineken Experience,['heineken']
4.25\u20ac for a coffee?! Are you fucking kidding me?!,['coffee']
It's a European tea sommeliers convention on the Jeeves &amp; Jericho stand today at the Amsterdam\u2026,['tea']
Gorgeous salad to celebrate the first sunny day from superfuntimesveganholidaycookbook\u2026,['salad']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
The heinekenexperience amsterdam Heineken Experience,['heineken']
Smoke well hidden. Well balanced with Bourbon and vanilla. Perfect be... (Zwarte Ziel 2017) photo,['vanilla']
Selfie lol worse tourists boat water landscape scenery tour amsterdam amazing selfie\u2026,['water']
Still in love with my beautiful delicious cake \U0001f60d\U0001f49c made by Syriana,['cake']
Beer anyone?! Heineken Experience,"['beer', 'heineken']"
Just posted a photo The Pancake Bakery,['pancake']
Fantastic sandwich and great place to people watch. stroll dnatatravel\u2026,['sandwich']
"I'm at The Seafood Bar in Amsterdam, North Holland",['seafood']
I'm at Hotel Espresso in Amsterdam,['espresso']
"Sushi, red light district, chips then waffles at 2am made for the best night ever. Some guy saw\u2026","['sushi', 'chips']"
ChixTape 4\ufe0f\u20e3 ForeverUmbrella ITOLDYOU \U0001f1f1\U0001f1fa \u2764's Smokey The Bulldog Coffee Shop,['coffee']
"A cup Coffee \u2615\ufe0f before Off London... (@ Starbucks - in Schiphol, Noord-Holland)",['coffee']
"MARK CURRY SHOW DROP THE IPAD !#crazy funny ipad apple dallas oakland Amsterdam, Netherlands","['curry', 'apple']"
I'm at Pasta Pasta in Amsterdam,['pasta']
Beautiful and delicious! amsterdam filtercoffee Monks Coffee Roasters,['coffee']
Tasting Condrieu and other Rhone wines with georgesvernay goodstart wine winelover france\u2026,['wine']
Super fresh and in their new bottle! Coffee time. - Drinking a Sumatra IPA Haarlemmermeer - photo,['coffee']
Who knew a potato in a suit and a dress would look so good! \U0001f954\U0001f954 SkyLounge Amsterdam,['potato']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland",['heineken']
"Pizza cut (@ Da Portare Via in Amsterdam, Noord-Holland)",['pizza']
Shisha \u25b2 Liqa \u25b2 Ballonnen \u25b2 Dj's \u25b2 Candy girls \u25b2 Only at Wednesday in Amsterdam club John Doe\u2026,['candy']
"Time for some masamman chicken curry tart,with hint of coconut and coriander \U0001f918#instatag\u2026","['curry', 'tart', 'coconut']"
Foraging the almond blossom from the museum garden for our event in April. Let's get ready for\u2026,['almond']
"Today taught me that I hate beer with a burning passion Amsterdam, Netherlands",['beer']
"Sex, Smoke &amp; Steak all together. Everything you need! LOL Amsterdam, Netherlands",['steak']
Bad face!! \U0001f624 memories me rugby heineken bad face amsterdam travel instatravel,['heineken']
CiSFinland can't be chips at Amsterdam airport,['chips']
Spring is here!! The sun is shining in Amsterdam. Bring on the cherry blossom!! Collection\u2026,['cherry']
charldelemarre &amp; Band! lichtelijkverlicht. Beginnen zo! Rolling Rock Kitchen,['rolling rock']
I'm at AMSTERDAM ARGENT\u0130NOS STEAK HOUSE,['steak']
When your man takes the best care of you. \U0001f46c#latte macarons macaronstagram parkhotel yummy\u2026,['latte']
"heineken experience Amsterdam, Netherlands",['heineken']
\u2488 heefey \u2489 dtvk \u248a wnlopzondag \u248b businessclass \u248c Chuck Berry 2017/3/19 11:33 CET trndnl,['berry']
Amsterdam be on that next level \U0001f44c\U0001f3fb\U0001f9c0 Amsterdam instatravel instafood cheese cupofcheese\u2026,['cheese']
"I'm at The Pancake Bakery in Amsterdam, Noord-Holland w/",['pancake']
So how's your coffee so far? \U0001f43b ((((: Starbucks Nederland,['coffee']
I'm reaching with SALEAPP a Heineken Pint \U0001f37b.Thanks \U0001f64f for the tip! sale sales promote\u2026,['heineken']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland w/",['heineken']
I'm at Rancho Steak Argentina Grill,['steak']
\u248d Coolsingel \u248e Biesbosch \u248f Chuck Berry \u2490 Drake \u2491 volcam 2017/3/19 18:52 CET trndnl,['berry']
\u248d gaepec \u248e Coolsingel \u248f Go Ahead \u2490 Biesbosch \u2491 Chuck Berry 2017/3/19 19:17 CET trndnl,['berry']
My fave painting \u2728 Almond blossom \U0001f60c Van Gogh Museum,['almond']
It is two minutes to midnight if you want to enjoy our winter cocktail creations still...as\u2026,['cocktail']
I've been experimenting again with cauliflower crust pizza \U0001f355 yum yummy eatyourveggies\u2026,"['cauliflower', 'pizza']"
"KLM, flowers, bikes, cheese and Tokio Hotel ! Thx Amsterdam \U0001f609\u2665\ufe0fwith my super friend playmo.bill\u2026",['cheese']
It's not about the champagne they're playing with. It's about these colourful newlyweds\u2026,['champagne']
First course moer_restaurant AMAZING cauliflower with almond milk foam and chile\u2026,"['cauliflower', 'almond', 'milk']"
"Jerusalem artichokes three ways with canada wild rice, cheese crisps and broth, and a fantastic\u2026","['rice', 'cheese']"
The snickers dessert course moer_restaurant for the chocolate lover in\u2026,['chocolate']
Cookie anyone? - Drinking a Kilos of Cookies by Haarlemmermeer \u2014 photo,['cookie']
Nice open fire inhouse roasting pitmaster charcoal kitchenlatino latin ceviche amsterdam\u2026,['ceviche']
Just posted a video Heineken Experience,['heineken']
Happy Saturday! What are your plans? I'm thinking of drinks with friends at a wine bar like\u2026,['wine']
Last wednesday in amterdam \U0001f1f3\U0001f1f1 evening dinner pasta \U0001f35d#factory \U0001f60b \U0001f44d\U0001f3fb nice place pastafactory\u2026,['pasta']
"People saturday ""number 12"" work orange roadsign streetphotography amsterdam rai\u2026",['orange']
Coffee shop amsterdam holland holiday travel england sardegna sardinia winter inverno\u2026,['coffee']
Thanks for the amazing coffee and the peep shows Amsterdam! mamawemadeit\u2026,['coffee']
"Myself, my shadow &amp; the spotlight (Technically not in that order). Doing a cocktail \U0001f379 fest\u2026",['cocktail']
Cocktail talk! taste spirits cocktails amsterdam foodie goodcompany Rosalia's Menagerie,['cocktail']
Being all touristy n that Heineken Experience,['heineken']
pipe to nowhere diemerpark ijburg netherlands water running instagramsterdam amstergram,['water']
I decided to treat myself. Johnnie Walker House at AMS has excellent service. JohnnieWalker\u2026,['johnnie walker']
machiatto bestmachiatto Viciado no machiatto Coffee Company Ferdinand Bolstraat,['coffee']
Thanks narcismaria for this beautyful B I R T H D A Y cake..... \u2764\ufe0f birthday bigforty cake\u2026,['cake']
"I'm at Melly's Espresso - Cookies Bar in Amsterdam, The Netherlands",['espresso']
"Absolute must if you come here!! (@ Heineken Experience - in Amsterdam, Noord-Holland)",['heineken']
"One cappuccino, please. NDSM-werf (IJ-hallen)",['cappuccino']
"Great full flavour. Coffee, Chocolate, great combination. - Drinking a R.I.S. by Joost \u2014","['coffee', 'chocolate']"
waffles coffee and margaritas theperfectbreakfast EastsideAmsterdam,['coffee']
"Kbal Super Natural Tiger \U0001f42f eye hair color inspiration. Adding bronze, caramel and gold\u2026",['caramel']
Drinking a Heineken by at \u2014,['heineken']
I'm at Wok Inn,['wok']
Free beer while our room is being prepared. (@ Hampshire Hotel - Amsterdam,"['beer', 'free beer']"
Lunch time with a nice cup of matcha tea lunch egg avocado avocadotoast matcha matchatea\u2026,"['tea', 'egg', 'avocado']"
"A Clockwork Orange... Amsterdam Netherlands Amsterdam, Netherlands",['orange']
Nice river cruise around the canals Heineken Experience,['heineken']
"Kbal Super Natural Tiger \U0001f42f eye hair color inspiration. Adding bronze, caramel and gold\u2026",['caramel']
